Sample in Buffer,Sample in Window,TRIGGER,u_led_twinkle/led,u_led_twinkle/cnt[25:0]
0,0,0,1,28938154
1,1,0,1,28938155
2,2,0,1,28938156
3,3,0,1,28938157
4,4,0,1,28938158
5,5,0,1,28938159
6,6,0,1,28938160
7,7,0,1,28938161
8,8,0,1,28938162
9,9,0,1,28938163
10,10,0,1,28938164
11,11,0,1,28938165
12,12,0,1,28938166
13,13,0,1,28938167
14,14,0,1,28938168
15,15,0,1,28938169
16,16,0,1,28938170
17,17,0,1,28938171
18,18,0,1,28938172
19,19,0,1,28938173
20,20,0,1,28938174
21,21,0,1,28938175
22,22,0,1,28938176
23,23,0,1,28938177
24,24,0,1,28938178
25,25,0,1,28938179
26,26,0,1,28938180
27,27,0,1,28938181
28,28,0,1,28938182
29,29,0,1,28938183
30,30,0,1,28938184
31,31,0,1,28938185
32,32,0,1,28938186
33,33,0,1,28938187
34,34,0,1,28938188
35,35,0,1,28938189
36,36,0,1,28938190
37,37,0,1,28938191
38,38,0,1,28938192
39,39,0,1,28938193
40,40,0,1,28938194
41,41,0,1,28938195
42,42,0,1,28938196
43,43,0,1,28938197
44,44,0,1,28938198
45,45,0,1,28938199
46,46,0,1,28938200
47,47,0,1,28938201
48,48,0,1,28938202
49,49,0,1,28938203
50,50,0,1,28938204
51,51,0,1,28938205
52,52,0,1,28938206
53,53,0,1,28938207
54,54,0,1,28938208
55,55,0,1,28938209
56,56,0,1,28938210
57,57,0,1,28938211
58,58,0,1,28938212
59,59,0,1,28938213
60,60,0,1,28938214
61,61,0,1,28938215
62,62,0,1,28938216
63,63,0,1,28938217
64,64,0,1,28938218
65,65,0,1,28938219
66,66,0,1,28938220
67,67,0,1,28938221
68,68,0,1,28938222
69,69,0,1,28938223
70,70,0,1,28938224
71,71,0,1,28938225
72,72,0,1,28938226
73,73,0,1,28938227
74,74,0,1,28938228
75,75,0,1,28938229
76,76,0,1,28938230
77,77,0,1,28938231
78,78,0,1,28938232
79,79,0,1,28938233
80,80,0,1,28938234
81,81,0,1,28938235
82,82,0,1,28938236
83,83,0,1,28938237
84,84,0,1,28938238
85,85,0,1,28938239
86,86,0,1,28938240
87,87,0,1,28938241
88,88,0,1,28938242
89,89,0,1,28938243
90,90,0,1,28938244
91,91,0,1,28938245
92,92,0,1,28938246
93,93,0,1,28938247
94,94,0,1,28938248
95,95,0,1,28938249
96,96,0,1,28938250
97,97,0,1,28938251
98,98,0,1,28938252
99,99,0,1,28938253
100,100,0,1,28938254
101,101,0,1,28938255
102,102,0,1,28938256
103,103,0,1,28938257
104,104,0,1,28938258
105,105,0,1,28938259
106,106,0,1,28938260
107,107,0,1,28938261
108,108,0,1,28938262
109,109,0,1,28938263
110,110,0,1,28938264
111,111,0,1,28938265
112,112,0,1,28938266
113,113,0,1,28938267
114,114,0,1,28938268
115,115,0,1,28938269
116,116,0,1,28938270
117,117,0,1,28938271
118,118,0,1,28938272
119,119,0,1,28938273
120,120,0,1,28938274
121,121,0,1,28938275
122,122,0,1,28938276
123,123,0,1,28938277
124,124,0,1,28938278
125,125,0,1,28938279
126,126,0,1,28938280
127,127,0,1,28938281
128,128,0,1,28938282
129,129,0,1,28938283
130,130,0,1,28938284
131,131,0,1,28938285
132,132,0,1,28938286
133,133,0,1,28938287
134,134,0,1,28938288
135,135,0,1,28938289
136,136,0,1,28938290
137,137,0,1,28938291
138,138,0,1,28938292
139,139,0,1,28938293
140,140,0,1,28938294
141,141,0,1,28938295
142,142,0,1,28938296
143,143,0,1,28938297
144,144,0,1,28938298
145,145,0,1,28938299
146,146,0,1,28938300
147,147,0,1,28938301
148,148,0,1,28938302
149,149,0,1,28938303
150,150,0,1,28938304
151,151,0,1,28938305
152,152,0,1,28938306
153,153,0,1,28938307
154,154,0,1,28938308
155,155,0,1,28938309
156,156,0,1,28938310
157,157,0,1,28938311
158,158,0,1,28938312
159,159,0,1,28938313
160,160,0,1,28938314
161,161,0,1,28938315
162,162,0,1,28938316
163,163,0,1,28938317
164,164,0,1,28938318
165,165,0,1,28938319
166,166,0,1,28938320
167,167,0,1,28938321
168,168,0,1,28938322
169,169,0,1,28938323
170,170,0,1,28938324
171,171,0,1,28938325
172,172,0,1,28938326
173,173,0,1,28938327
174,174,0,1,28938328
175,175,0,1,28938329
176,176,0,1,28938330
177,177,0,1,28938331
178,178,0,1,28938332
179,179,0,1,28938333
180,180,0,1,28938334
181,181,0,1,28938335
182,182,0,1,28938336
183,183,0,1,28938337
184,184,0,1,28938338
185,185,0,1,28938339
186,186,0,1,28938340
187,187,0,1,28938341
188,188,0,1,28938342
189,189,0,1,28938343
190,190,0,1,28938344
191,191,0,1,28938345
192,192,0,1,28938346
193,193,0,1,28938347
194,194,0,1,28938348
195,195,0,1,28938349
196,196,0,1,28938350
197,197,0,1,28938351
198,198,0,1,28938352
199,199,0,1,28938353
200,200,0,1,28938354
201,201,0,1,28938355
202,202,0,1,28938356
203,203,0,1,28938357
204,204,0,1,28938358
205,205,0,1,28938359
206,206,0,1,28938360
207,207,0,1,28938361
208,208,0,1,28938362
209,209,0,1,28938363
210,210,0,1,28938364
211,211,0,1,28938365
212,212,0,1,28938366
213,213,0,1,28938367
214,214,0,1,28938368
215,215,0,1,28938369
216,216,0,1,28938370
217,217,0,1,28938371
218,218,0,1,28938372
219,219,0,1,28938373
220,220,0,1,28938374
221,221,0,1,28938375
222,222,0,1,28938376
223,223,0,1,28938377
224,224,0,1,28938378
225,225,0,1,28938379
226,226,0,1,28938380
227,227,0,1,28938381
228,228,0,1,28938382
229,229,0,1,28938383
230,230,0,1,28938384
231,231,0,1,28938385
232,232,0,1,28938386
233,233,0,1,28938387
234,234,0,1,28938388
235,235,0,1,28938389
236,236,0,1,28938390
237,237,0,1,28938391
238,238,0,1,28938392
239,239,0,1,28938393
240,240,0,1,28938394
241,241,0,1,28938395
242,242,0,1,28938396
243,243,0,1,28938397
244,244,0,1,28938398
245,245,0,1,28938399
246,246,0,1,28938400
247,247,0,1,28938401
248,248,0,1,28938402
249,249,0,1,28938403
250,250,0,1,28938404
251,251,0,1,28938405
252,252,0,1,28938406
253,253,0,1,28938407
254,254,0,1,28938408
255,255,0,1,28938409
256,256,0,1,28938410
257,257,0,1,28938411
258,258,0,1,28938412
259,259,0,1,28938413
260,260,0,1,28938414
261,261,0,1,28938415
262,262,0,1,28938416
263,263,0,1,28938417
264,264,0,1,28938418
265,265,0,1,28938419
266,266,0,1,28938420
267,267,0,1,28938421
268,268,0,1,28938422
269,269,0,1,28938423
270,270,0,1,28938424
271,271,0,1,28938425
272,272,0,1,28938426
273,273,0,1,28938427
274,274,0,1,28938428
275,275,0,1,28938429
276,276,0,1,28938430
277,277,0,1,28938431
278,278,0,1,28938432
279,279,0,1,28938433
280,280,0,1,28938434
281,281,0,1,28938435
282,282,0,1,28938436
283,283,0,1,28938437
284,284,0,1,28938438
285,285,0,1,28938439
286,286,0,1,28938440
287,287,0,1,28938441
288,288,0,1,28938442
289,289,0,1,28938443
290,290,0,1,28938444
291,291,0,1,28938445
292,292,0,1,28938446
293,293,0,1,28938447
294,294,0,1,28938448
295,295,0,1,28938449
296,296,0,1,28938450
297,297,0,1,28938451
298,298,0,1,28938452
299,299,0,1,28938453
300,300,0,1,28938454
301,301,0,1,28938455
302,302,0,1,28938456
303,303,0,1,28938457
304,304,0,1,28938458
305,305,0,1,28938459
306,306,0,1,28938460
307,307,0,1,28938461
308,308,0,1,28938462
309,309,0,1,28938463
310,310,0,1,28938464
311,311,0,1,28938465
312,312,0,1,28938466
313,313,0,1,28938467
314,314,0,1,28938468
315,315,0,1,28938469
316,316,0,1,28938470
317,317,0,1,28938471
318,318,0,1,28938472
319,319,0,1,28938473
320,320,0,1,28938474
321,321,0,1,28938475
322,322,0,1,28938476
323,323,0,1,28938477
324,324,0,1,28938478
325,325,0,1,28938479
326,326,0,1,28938480
327,327,0,1,28938481
328,328,0,1,28938482
329,329,0,1,28938483
330,330,0,1,28938484
331,331,0,1,28938485
332,332,0,1,28938486
333,333,0,1,28938487
334,334,0,1,28938488
335,335,0,1,28938489
336,336,0,1,28938490
337,337,0,1,28938491
338,338,0,1,28938492
339,339,0,1,28938493
340,340,0,1,28938494
341,341,0,1,28938495
342,342,0,1,28938496
343,343,0,1,28938497
344,344,0,1,28938498
345,345,0,1,28938499
346,346,0,1,28938500
347,347,0,1,28938501
348,348,0,1,28938502
349,349,0,1,28938503
350,350,0,1,28938504
351,351,0,1,28938505
352,352,0,1,28938506
353,353,0,1,28938507
354,354,0,1,28938508
355,355,0,1,28938509
356,356,0,1,28938510
357,357,0,1,28938511
358,358,0,1,28938512
359,359,0,1,28938513
360,360,0,1,28938514
361,361,0,1,28938515
362,362,0,1,28938516
363,363,0,1,28938517
364,364,0,1,28938518
365,365,0,1,28938519
366,366,0,1,28938520
367,367,0,1,28938521
368,368,0,1,28938522
369,369,0,1,28938523
370,370,0,1,28938524
371,371,0,1,28938525
372,372,0,1,28938526
373,373,0,1,28938527
374,374,0,1,28938528
375,375,0,1,28938529
376,376,0,1,28938530
377,377,0,1,28938531
378,378,0,1,28938532
379,379,0,1,28938533
380,380,0,1,28938534
381,381,0,1,28938535
382,382,0,1,28938536
383,383,0,1,28938537
384,384,0,1,28938538
385,385,0,1,28938539
386,386,0,1,28938540
387,387,0,1,28938541
388,388,0,1,28938542
389,389,0,1,28938543
390,390,0,1,28938544
391,391,0,1,28938545
392,392,0,1,28938546
393,393,0,1,28938547
394,394,0,1,28938548
395,395,0,1,28938549
396,396,0,1,28938550
397,397,0,1,28938551
398,398,0,1,28938552
399,399,0,1,28938553
400,400,0,1,28938554
401,401,0,1,28938555
402,402,0,1,28938556
403,403,0,1,28938557
404,404,0,1,28938558
405,405,0,1,28938559
406,406,0,1,28938560
407,407,0,1,28938561
408,408,0,1,28938562
409,409,0,1,28938563
410,410,0,1,28938564
411,411,0,1,28938565
412,412,0,1,28938566
413,413,0,1,28938567
414,414,0,1,28938568
415,415,0,1,28938569
416,416,0,1,28938570
417,417,0,1,28938571
418,418,0,1,28938572
419,419,0,1,28938573
420,420,0,1,28938574
421,421,0,1,28938575
422,422,0,1,28938576
423,423,0,1,28938577
424,424,0,1,28938578
425,425,0,1,28938579
426,426,0,1,28938580
427,427,0,1,28938581
428,428,0,1,28938582
429,429,0,1,28938583
430,430,0,1,28938584
431,431,0,1,28938585
432,432,0,1,28938586
433,433,0,1,28938587
434,434,0,1,28938588
435,435,0,1,28938589
436,436,0,1,28938590
437,437,0,1,28938591
438,438,0,1,28938592
439,439,0,1,28938593
440,440,0,1,28938594
441,441,0,1,28938595
442,442,0,1,28938596
443,443,0,1,28938597
444,444,0,1,28938598
445,445,0,1,28938599
446,446,0,1,28938600
447,447,0,1,28938601
448,448,0,1,28938602
449,449,0,1,28938603
450,450,0,1,28938604
451,451,0,1,28938605
452,452,0,1,28938606
453,453,0,1,28938607
454,454,0,1,28938608
455,455,0,1,28938609
456,456,0,1,28938610
457,457,0,1,28938611
458,458,0,1,28938612
459,459,0,1,28938613
460,460,0,1,28938614
461,461,0,1,28938615
462,462,0,1,28938616
463,463,0,1,28938617
464,464,0,1,28938618
465,465,0,1,28938619
466,466,0,1,28938620
467,467,0,1,28938621
468,468,0,1,28938622
469,469,0,1,28938623
470,470,0,1,28938624
471,471,0,1,28938625
472,472,0,1,28938626
473,473,0,1,28938627
474,474,0,1,28938628
475,475,0,1,28938629
476,476,0,1,28938630
477,477,0,1,28938631
478,478,0,1,28938632
479,479,0,1,28938633
480,480,0,1,28938634
481,481,0,1,28938635
482,482,0,1,28938636
483,483,0,1,28938637
484,484,0,1,28938638
485,485,0,1,28938639
486,486,0,1,28938640
487,487,0,1,28938641
488,488,0,1,28938642
